Platform,Product,Price Current (SAR),Price Original (SAR),Discount %,Price Raw,Link
Noon,Apple MacBook Air MC6L4 | 15 Inch Display | Apple M4 Chip | 10-Core CPU 10-Core GPU | 24GB RAM | 512GB SSD | macOS | English Keyboard | International Version | Midnight,82499,89999,8,"EGP
82,499
89,999
Lowest price in 7 days
Free Delivery",https://www.noon.com/egypt-en/macbook-air-mc6l4-15-inch-display-apple-m4-chip-10-core-cpu-10-core-gpu-24gb-ram-512gb-ssd-macos-english-keyboard-international-version-midnight/N70159450V/p/?o=b9a5c1e4e682716f
Noon,"Msi Katana A15 AI B8VF Gaming Laptop AMD Ryzen 9 8945HS 512GB NVMe PCIe SSD 16GB DDR5 Ram Nvidia GeForce RTX 4060 8GB 15.6"" FHD (1920x1080), 144Hz, IPS-Level DOS - Black black",54256,60000,10,"EGP
54,256
60,000
Lowest price in 7 days
Free Delivery",https://www.noon.com/egypt-en/msi-katana-a15-ai-b8vf-gaming-laptop-amd-ryzen-9-8945hs-512gb-nvme-pcie-ssd-16gb-ddr5-ram-nvidia-geforce-rtx-4060-8gb-15-6-fhd-1920x1080-144hz-ips-level-dos-black-black/N70284030V/p/?o=eb1fc943110b462f
Noon,"Msi Katana 15 HX 14XWGK Gaming Laptop Intel Core I9-14900HX 1TB SSD 16GB DDR5 Ram Nvidia GeForce RTX 5070 8GB 15.6"" QHD (2560*1440), 165Hz DCI-P3 100% typical Windows 11 - Black black",79499,84999,6,"EGP
79,499
84,999
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/msi-katana-15-hx-14xwgk-gaming-laptop-intel-core-i9-14900hx-1tb-ssd-16gb-ddr5-ram-nvidia-geforce-rtx-5070-8gb-15-6-qhd-2560-1440-165hz-dci-p3-100-typical-windows-11-black-black/N70284029V/p/?o=f9038aa1176195af
Noon,"HP OmniBook 3 AI Laptop 15.6"" Ryzen AI 5 / 16GB / 512GB SSD / Radeon 840M / Win11 Glacier Silver",36666,N/A,N/A,"EGP
36,666
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/hp-omnibook-3-ai-laptop-15-6-ryzen-ai-5-16gb-512gb-ssd-radeon-840m-win11-glacier-silver/N70246387V/p/?o=bfc644d5a8c9086e
Noon,"Msi Vector 17 HX AI A2XWJG Gaming Laptop Intel Core Ultra 9 275HX 1TB SSD 32GB DDR5 RAM Nvidia GeForce RTX 5090 24GB GDDR7 17” QHD+ (2560x1600), 240Hz, IPS-Level Windows 11 - Cosmos Gray Cosmos Gray",N/A,N/A,N/A,"EGP
179,999
185,000
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/msi-vector-17-hx-ai-a2xwjg-gaming-laptop-intel-core-ultra-9-275hx-1tb-ssd-32gb-ddr5-ram-nvidia-geforce-rtx-5090-24gb-gddr7-17-qhd-2560x1600-240hz-ips-level-windows-11-cosmos-gray-cosmos-gray/N70284077V/p/?o=f454f911c91689aa
Noon,"Lenovo LOQ 15IRX9 Laptop With 15.6-Inch Display, Core i5-13450HX Processor/16GB RAM/512GB SSD/6GB GeForce RTX 3050 Graphics/DOS(Without Windows)/ English/Arabic Luna Grey",37801,39999,5,"EGP
37,801
39,999
Free Delivery
Selling out fast
Free Delivery",https://www.noon.com/egypt-en/loq-15irx9-laptop-with-15-6-inch-display-core-i5-13450hx-processor-16gb-ram-512gb-ssd-6gb-geforce-rtx-3050-graphics-dos-without-windows-english-arabic-luna-grey/N70104774V/p/?o=adb6a865bccf672a
Noon,"DELL Vostro 3520 Laptop - 12th Intel Core i5-1235U , 4GB RAM, 256GB SSD, Intel UHD Graphics, 15.6"" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare, Ubuntu - English Carbon Black",19962,20999,5,"EGP
19,962
20,999
#32 in Notebook Laptops
Lowest price in 30 days
Free Delivery",https://www.noon.com/egypt-en/vostro-3520-laptop-12th-intel-core-i5-1235u-4gb-ram-256gb-ssd-intel-uhd-graphics-15-6-fhd-1920-x-1080-120hz-250-nits-anti-glare-ubuntu-english-carbon-black/N70071113V/p/?o=e7e9bad4379b664b
Noon,Apple MacBook Air MC7A4 | 15 Inch Display | M4 Chip 10-Core CPU 10-Core GPU | 16GB RAM | 256GB SSD | macOS | English And Arabic Keyboard | English/Arabic Sky Blue,54804,62550,12,"EGP
54,804
62,550
Lowest price in a year
Free Delivery
Lowest price in a year",https://www.noon.com/egypt-en/macbook-air-mc7a4-15-inch-display-m4-chip-10-core-cpu-10-core-gpu-16gb-ram-256gb-ssd-macos-english-and-arabic-keyboard-english-arabic-sky-blue/N70154961V/p/?o=d2ff8b1d84831f4c
Noon,Apple MacBook Air MC8K4 | 13 Inch Display | Apple M3 Chip | 8-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English Keyboard | International Version | Midnight,43727,69999,38,"EGP
43,727
69,999
#29 in Notebook Laptops
Lowest price in a year
Free Delivery",https://www.noon.com/egypt-en/macbook-air-mc8k4-13-inch-display-apple-m3-chip-8-core-cpu-8-core-gpu-16gb-ram-256gb-ssd-macos-english-keyboard-international-version-midnight/N70127769V/p/?o=df7735861d743d2d
Noon,ASUS FX607VJ-RL805W ASUS TUF Gaming F16 Laptop with 16 inch FHD / Core™ 5 Processor 210H / 8 GB RAM / 512 GB SSD / NVIDIA® GeForce RTX™ 3050 Laptop GPU / English/ Win11/Mecha Gray English Mecha Gray,36222,41999,14,"EGP
36,222
41,999
Lowest price in 30 days
Free Delivery
Lowest price in 30 days",https://www.noon.com/egypt-en/fx607vj-rl805w-asus-tuf-gaming-f16-laptop-with-16-inch-fhd-core-5-processor-210h-8-gb-ram-512-gb-ssd-nvidia-geforce-rtx-3050-laptop-gpu-english-win11-mecha-gray-english-mecha-gray/N70247918V/p/?o=c75362df8905ba1f
Noon,"Lenovo (Upgraded Version) ThinkPad E14 Gen 7 Business Laptop, 14"" WUXGA Display, Intel Core Ultra 7 255H, 16GB DDR5 RAM, 512GB SSD, Intel Arc 140T GPU English/Arabic Black English/Arabic Black",45801,50550,9,"EGP
45,801
50,550
#26 in Notebook Laptops
Lowest price in a year
Free Delivery",https://www.noon.com/egypt-en/upgraded-version-thinkpad-e14-gen-7-business-laptop-14-wuxga-display-intel-core-ultra-7-255h-16gb-ddr5-ram-512gb-ssd-intel-arc-140t-gpu-english-arabic-black-english-arabic-black/N70218070V/p/?o=ee6daad5a99e17ee
Noon,"Lenovo LOQ Gaming Laptop With 15.6 Inch Full HD (1920x1080) IPS Display, Core i5-12450HX Processor/16GB DDR5 RAM/512GB SSD/4GB Nvidia GeForce RTX 2050 Graphics/DOS(Without Windows)/ English/Arabic Grey",28198,29289,4,"EGP
28,198
29,289
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/loq-gaming-laptop-with-15-6-inch-full-hd-1920x1080-ips-display-core-i5-12450hx-processor-16gb-ddr5-ram-512gb-ssd-4gb-nvidia-geforce-rtx-2050-graphics-dos-without-windows-english-arabic-grey/N70148823V/p/?o=caaa680fb6a8d82a
Noon,"Lenovo IDEAPAD 5 2 IN 1 -83DT008YED-Intel Core 7 150U -16GB Soldered LPDDR5x 5200-512GB SSD M.2-Integrated Intel Graphics- Windows 11 Home-14"" WUXGA English/Arabic Luna Grey",42999,N/A,N/A,"EGP
42,999
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/ideapad-5-2-in-1-83dt008yed-intel-core-7-150u-16gb-soldered-lpddr5x-5200-512gb-ssd-m-2-integrated-intel-graphics-windows-11-home-14-wuxga-english-arabic-luna-grey/N70179781V/p/?o=ad9887467c723bbc
Noon,"ASUS TUF GAMING FA506NCR-HN007W R7 7435HS, 8GB RAM, 512GB SSD, NVIDIA RTX 3050, 15.6 INCH FHD, WIN 11, Jaeger Gray English/Arabic Graphite Black",36439,36779,1,"EGP
36,439
36,779
Lowest price in 30 days
Free Delivery
Lowest price in 30 days",https://www.noon.com/egypt-en/asus-tuf-gaming-fa506ncr-hn007w-r7-7435hs-8gb-ram-512gb-ssd-nvidia-rtx-3050-15-6-inch-fhd-win-11-jaeger-gray-english-arabic-graphite-black/N70108922V/p/?o=ed30c180715feeae
Noon,Apple MacBook Pro MW2U3 | 14.2 Inch Display | Apple M4 Chip | 10-Core CPU 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | English Space Black,75958,82499,8,"EGP
75,958
82,499
Lowest price in 7 days
Free Delivery
Lowest price in 7 days",https://www.noon.com/egypt-en/macbook-pro-mw2u3-14-2-inch-display-apple-m4-chip-10-core-cpu-10-core-gpu-16gb-ram-512gb-ssd-macos-english-keyboard-english-space-black/N70125915V/p/?o=a17af512dfac8e0f
Noon,Apple MacBook Air MC6U4 | 13 Inch Display | Apple M4 Chip | 10-Core CPU 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | International Version | Sky Blue,57326,60499,5,"EGP
57,326
60,499
Lowest price in 30 days
Free Delivery
Lowest price in 30 days",https://www.noon.com/egypt-en/macbook-air-mc6u4-13-inch-display-apple-m4-chip-10-core-cpu-10-core-gpu-16gb-ram-512gb-ssd-macos-english-keyboard-international-version-sky-blue/N70154916V/p/?o=f4404ac9bebb262e
